CONTAINER,CASES,QTY,SKUs,FFW,OCEAN/TL,40/45/53,PL,CARRIER,Live,SCHEDULED DATE,SCHEDULED TIME,ARRIVAL DATE,ARRIVAL TIME,TEAM SIZE,UNLOAD DATE,BLDG,UNLOAD START,UNLOAD FINISH,UNLOAD MINS,Unload for avs,Cases Per Person  Per Minute,RESTACK START,RESTACK FINISH,D2S START,D2S FINISH,DAMAGED PRODUCT,TOTAL PALLETS,DAMAGED PALLETS
SEGU4527010,2280,27360,1,SBA Global,Transload,53' Trailer,No,,,2/16/2017,,2/16/2017,,4,2/16/2017,,,,0,,,,,,,0,,0
FBLU4106945,1500,9000,1,SBA Global,Transload,53' Trailer,No,,,2/20/2017,,2/20/2017,,5,2/20/2017,,,,0,,,,,,,0,,0
TCLU8726791,835,30060,1,SBA Global,Transload,53' Trailer,No,,,3/16/2017,,3/16/2017,,5,3/16/2017,,,,0,,,,,,,0,,0
FSCU8043332,1878,27100,25,SBA Global,Transload,53' Trailer,Yes,,,3/20/2017,,3/20/2017,,4,3/20/2017,,,,0,,,,,,,0,,0
TCNU7987150,325,29250,1,SBA Global,Transload,53' Trailer,No,,,3/22/2017,,3/22/2017,,5,3/22/2017,,,,0,,,,,,,0,,0
SEGU6119090,711,30622,10,SBA Global,Transload,53' Trailer,No,,,3/23/2017,,3/23/2017,,5,3/23/2017,,,,0,,,,,,,0,,0
OOLU9058280,378,32730,23,Fedex,Ocean,40' HQ Container,Yes,,,3/24/2017,,3/24/2017,,6,3/24/2017,,,,0,,,,,,,0,,0
YMMU6064191,1373,27404,13,SBA Global,Transload,53' Trailer,No,,,3/27/2017,,3/27/2017,,4,3/27/2017,,,,0,,,,,,,0,,0
TCNU5120690,1130,28218,5,Fedex,Ocean,40' HQ Container,No,,,3/27/2017,,3/27/2017,,5,3/27/2017,,,,0,,,,,,,0,,0
EISU9481381,835,30060,1,SBA Global,Transload,53' Trailer,No,,,3/27/2017,,3/27/2017,,5,3/27/2017,,,,0,,,,,,,0,,0
TCNU7970286,374,31780,2,SBA Global,Transload,53' Trailer,Yes,,,3/27/2017,,3/27/2017,,5,3/27/2017,,,,0,,,,,,,0,,0
TEMU8776871,2343,34702,27,SBA Global,Transload,53' Trailer,Yes,,,3/28/2017,,3/28/2017,,5,3/28/2017,,,,0,,,,,,,0,,0
YMLU8353918,570,22800,1,SBA Global,Transload,53' Trailer,No,,,3/28/2017,,3/28/2017,,5,3/28/2017,,,,0,,,,,,,0,,0
OOLU9494534,609,37326,31,Fedex,Ocean,40' HQ Container,Yes,,,3/29/2017,,3/29/2017,,5,3/29/2017,,,,0,,,,,,,0,,0
CAIU8914318,690,29594,7,SBA Global,Transload,53' Trailer,No,,,3/29/2017,,3/29/2017,,5,3/29/2017,,,,0,,,,,,,0,,0
TCNU6498621,702,25272,4,Fedex,Ocean,40' HQ Container,No,,,3/29/2017,,3/29/2017,,5,3/29/2017,,,,0,,,,,,,0,,0
TEMU6073798,359,32310,7,SBA Global,Transload,53' Trailer,No,,,3/29/2017,,3/29/2017,,5,3/29/2017,,,,0,,,,,,,0,,0
YMLU8800256,365,25514,7,SBA Global,Transload,53' Trailer,No,,,3/30/2017,,3/30/2017,,5,3/30/2017,,,,0,,,,,,,0,,0
TEMU8592724,915,30954,16,SBA Global,Transload,53' Trailer,No,,,4/3/2017,,4/3/2017,,5,4/3/2017,,,,0,,,,,,,0,,0
MAGU5682090,1981,27213,3,SBA Global,Transload,53' Trailer,Yes,,,4/3/2017,,4/3/2017,,5,4/3/2017,,,,0,,,,,,,0,,0
TEMU8811340,753,27108,1,SBA Global,Transload,53' Trailer,No,,,4/3/2017,,4/3/2017,,5,4/3/2017,,,,0,,,,,,,0,,0
OOLU9770870,401,32080,39,Fedex,Ocean,40' HQ Container,No,,,4/4/2017,,4/4/2017,,5,4/4/2017,,,,0,,,,,,,0,,0
OOLU9882083,443,34480,10,Fedex,Ocean,40' HQ Container,Yes,,,4/5/2017,,4/5/2017,,5,4/5/2017,,,,0,,,,,,,0,,0
DRYU9820404,536,28662,4,SBA Global,Transload,53' Trailer,No,,,4/5/2017,,4/5/2017,,5,4/5/2017,,,,0,,,,,,,0,,0
TEMU7016051,640,27576,3,SBA Global,Transload,53' Trailer,No,,,4/5/2017,,4/5/2017,,5,4/5/2017,,,,0,,,,,,,0,,0
OOLU9917359,755,30432,9,Fedex,Ocean,40' HQ Container,No,,,4/5/2017,,4/5/2017,,5,4/5/2017,,,,0,,,,,,,0,,0
SEGU4068332,1343,1343,1,SBA Global,Transload,53' Trailer,No,,,4/5/2017,,4/5/2017,,5,4/5/2017,,,,0,,,,,,,0,,0
BMOU5114013,1130,32214,7,SBA Global,Transload,53' Trailer,No,,,4/6/2017,,4/6/2017,,5,4/6/2017,,,,0,,,,,,,0,,0
SEGU5818540,511,25852,4,SBA Global,Transload,53' Trailer,No,,,4/6/2017,,4/6/2017,,5,4/6/2017,,,,0,,,,,,,0,,0
TCNU6713302,824,29288,2,SBA Global,Transload,53' Trailer,No,,,4/10/2017,,4/10/2017,,5,4/10/2017,,,,0,,,,,,,0,,0
TCNU8976669,721,25956,1,SBA Global,Transload,53' Trailer,No,,,4/10/2017,,4/10/2017,,5,4/10/2017,,,,0,,,,,,,0,,0
TEMU7712384,937,33732,1,SBA Global,Transload,53' Trailer,No,,,4/11/2017,,4/11/2017,,5,4/11/2017,,,,0,,,,,,,0,,0
YMMU6030400,535,24600,11,SBA Global,Transload,53' Trailer,No,,,4/11/2017,,4/11/2017,,5,4/11/2017,,,,0,,,,,,,0,,0
SEGU5259020,816,31678,24,SBA Global,Transload,53' Trailer,Yes,,,4/11/2017,,4/11/2017,,5,4/11/2017,,,,0,,,,,,,0,,0
OOLU9939851,1362,24136,4,Fedex,Ocean,40' HQ Container,No,,,4/12/2017,,4/12/2017,,3,4/12/2017,,,,0,,,,,,,0,,0
YMMU6071502,570,22800,1,SBA Global,Transload,53' Trailer,No,,,4/12/2017,,4/12/2017,,4,4/12/2017,,,,0,,,,,,,0,,0
OOLU9120350,411,35340,7,Fedex,Ocean,40' HQ Container,Yes,,,4/12/2017,,4/12/2017,,5,4/12/2017,,,,0,,,,,,,0,,0
TCKU4715934,350,24438,9,SBA Global,Transload,53' Trailer,No,,,4/12/2017,,4/12/2017,,4,4/12/2017,,,,0,,,,,,,0,,0
OOLU9425066,1042,24232,8,Fedex,Ocean,40' HQ Container,No,,,4/12/2017,,4/12/2017,,5,4/12/2017,,,,0,,,,,,,0,,0
OOLU9186640,2268,34020,2,Fedex,Ocean,40' HQ Container,Yes,,,4/13/2017,,4/13/2017,,4,4/13/2017,,,,0,,,,,,,0,,0
OOLU8804492,1593,24576,4,Fedex,Ocean,40' HQ Container,No,,,4/13/2017,,4/13/2017,,5,4/13/2017,,,,0,,,,,,,0,,0
FCIU9362504,320,28800,8,SBA Global,Transload,53' Trailer,No,,,4/13/2017,,4/13/2017,,4,4/13/2017,,,,0,,,,,,,0,,0
YMMU4070831,1183,17745,4,SBA Global,Transload,53' Trailer,No,,,4/13/2017,,4/13/2017,,3,4/13/2017,,,,0,,,,,,,0,,0
TCNU3483612,650,21672,3,SBA Global,Transload,53' Trailer,No,,,4/14/2017,,4/14/2017,,4,4/14/2017,,,,0,,,,,,,0,,0
GESU6255169,742,26712,1,SBA Global,Transload,53' Trailer,No,,,4/17/2017,,4/17/2017,,4,4/17/2017,,,,0,,,,,,,0,,0
YMLU8206120,791,28146,5,SBA Global,Transload,53' Trailer,No,,,4/17/2017,,4/17/2017,,5,4/17/2017,,,,0,,,,,,,0,,0
MAGU5765276,579,23160,1,SBA Global,Transload,53' Trailer,No,,,4/17/2017,,4/17/2017,,4,4/17/2017,,,,0,,,,,,,0,,0
DFSU7808843,536,8040,3,SBA Global,Transload,53' Trailer,No,,,4/18/2017,,4/18/2017,,4,4/18/2017,,,,0,,,,,,,0,,0
TCNU4665329,857,30606,4,SBA Global,Transload,53' Trailer,No,,,4/18/2017,,4/18/2017,,4,4/18/2017,,,,0,,,,,,,0,,0
YMLU5113960,430,18759,9,SBA Global,Transload,53' Trailer,Yes,,,4/18/2017,,4/18/2017,,3,4/18/2017,,,,0,,,,,,,0,,0
SEGU5262548,743,23732,6,SBA Global,Transload,53' Trailer,No,,,4/19/2017,,4/19/2017,,4,4/19/2017,,,,0,,,,,,,0,,0
TCNU8580636,525,34790,70,Fedex,Ocean,40' HQ Container,Yes,,,4/20/2017,,4/20/2017,,4,4/20/2017,,,,0,,,,,,,0,,0
OOLU8757723,1015,28122,6,Fedex,Ocean,40' HQ Container,Yes,,,4/20/2017,,4/20/2017,,4,4/20/2017,,,,0,,,,,,,0,,0
OOLU8805797,1744,26535,5,Fedex,Ocean,40' HQ Container,No,,,4/20/2017,,4/20/2017,,4,4/20/2017,,,,0,,,,,,,0,,0
YMLU5144236,850,21450,7,SBA Global,Transload,53' Trailer,No,,,4/20/2017,,4/20/2017,,3,4/20/2017,,,,0,,,,,,,0,,0
OOLU9769924,408,32640,36,Fedex,Ocean,40' HQ Container,Yes,,,4/21/2017,,4/21/2017,,4,4/21/2017,,,,0,,,,,,,0,,0
OOLU6889802,1505,24015,7,Fedex,Ocean,40' HQ Container,No,,,4/21/2017,,4/21/2017,,4,4/21/2017,,,,0,,,,,,,0,,0
BMOU6831256,1147,12867,6,SBA Global,Transload,53' Trailer,Yes,,,4/24/2017,,4/24/2017,,3,4/24/2017,,,,0,,,,,,,0,,0
